Map,Winner,Winner race,Loser,Loser race
Echo Isles,Philiwarrior,o,SpoKi,h
Northern Isles,Hankk,o,Helbisch,u
Last Refuge,Chaemiko,h,Soin,o
Twisted Meadows,WaN,u,JokeRn,n
Amazonia,CoopeR,o,Michael,u
Northern Isles,Changer,h,Helbisch,u
Terenas Stand LV,Jens,n,Sooo Unreal,h
Echo Isles,Wiz,o,Daille,h
Echo Isles,Colorful,n,Infi,h
Amazonia,WaN,u,LucifroN,o
Concealed Hill,Deathnote,h,Neytpoh,n
Last Refuge,15sui,n,Sini,o
Northern Isles,XlorD,u,TeRRoR,u
Echo Isles,Please,n,Cash,o
Amazonia,Neytpoh,n,Sonik,n
Echo Isles,LawLiet,n,FoCuS,o
Last Refuge,Sini,o,Zhou Xixi,n
Last Refuge,TGW,u,RenZNek,u
Northern Isles,Scower,o,Helbisch,u
Terenas Stand,ToM,o,Paxa,u
Echo Isles,Pink,u,Fortitude,h
Concealed Hill,HawK,h,Sonik,n
Last Refuge,Sonik,n,Powlok,h
Terenas Stand LV,Gulliver,h,NickMoris,n
Last Refuge,Edo,u,Sheik,u
Autumn Leaves,EnTe,u,Starshaped,n
Concealed Hill,Biko,u,ToM,o
Last Refuge,HartCrane,o,Rheagal,u
Echo Isles,Michael,u,Dise,n
Amazonia,Sheik,u,HoT,n
Northern Isles,XlorD,u,Cash,o
Echo Isles,FoCuS,o,Eer0,u
Northern Isles,Nujabes,h,Manusiku,u
Last Refuge,Aeb,u,KDweeb,h
Turtle Rock,Lubber,u,Tak3r,o
Northern Isles,Lin Guagua,o,Soin,o
Last Refuge,Lin Guagua,o,Yange,n
Last Refuge,Foggy,n,Chaemiko,h
Last Refuge,Deuce,u,HellRaiseR,u
Last Refuge,Bizzare,o,TGW,h
Concealed Hill,Neytpoh,n,EnTe,u
Terenas Stand LV,Eer0,u,Fortitude,h
Last Refuge,Michael,u,Sonik,n
Concealed Hill,Moon,n,LawLiet,n
Northern Isles,Ag3nt,h,Ser,u
Concealed Hill,Mosura,u,Mythos,u
Last Refuge,Flopoks,u,Gonz,n
Turtle Rock,XiaoKai,o,Ice orc,o
Northern Isles,Eer0,u,Fortitude,h
Terenas Stand LV,Deathnote,h,Dise,n
Twisted Meadows,ArminvB,o,Tak3r,o
Northern Isles,INSUPERABLE,u,RavinDrannor,o
Turtle Rock,Foggy,n,Blade,h
Last Refuge,XlorD,u,WaN,u
Concealed Hill,Lucker,o,Ramos,o
Echo Isles,Happy,u,HawK,h
Last Refuge,Duck,u,INSUPERABLE,u
Turtle Rock,FoCuS,o,Sok,h
Echo Isles,Sonik,n,ThorZaIN,h
Concealed Hill,GodFather,u,Patco,o
Terenas Stand LV,Fortitude,h,Colorful,n
Autumn Leaves,Sonik,n,Cash,o
Echo Isles,BlaST9Z,n,Seal,o
Northern Isles,Deathnote,h,Edo,u
Amazonia,Aserinox,u,Fish,h
Last Refuge,Chaemiko,h,FoCuS,o
Northern Isles,PriesT,h,Sorah,o
Concealed Hill,Soin,o,Chaemiko,h
Shattered Exile,Sonik,n,TGW,u
Northern Isles,Please,n,Dise,n
Concealed Hill,MrOleh,o,MrKenshin,o
Northern Isles,XlorD,u,Franzyzz,o
Northern Isles,Gonz,n,FaiLo,o
Last Refuge,Sheik,u,Michael,u
Amazonia,Krawty,n,TekRicket,n
Amazonia,SaiDe,n,BlaST9Z,n
Last Refuge,PhiLbOiS,n,Helbisch,u
Twisted Meadows,Lyn,o,XiaoKai,u
Terenas Stand LV,SDmK,u,Arma,o
Last Refuge,Dise,n,Cement,u
Echo Isles,Spiral,o,Foggy,n
