Map,Winner,Winner race,Loser,Loser race
Terenas Stand LV,Sonik,n,CoopeR,o
Last Refuge,ToD,h,AGa,o
Northern Isles,CrunCher,h,INSUPERABLE,u
Last Refuge,INSUPERABLE,u,KiWiKaKi,o
Northern Isles,Dise,n,Chiko,o
Amazonia,Hitman,o,Ark,n
Amazonia,Blade,h,Spiral,n
Concealed Hill,Yumiko,h,Mango,u
Echo Isles,Divine,u,Ceron,n
Terenas Stand LV,FeeLx,h,Iva,h
Last Refuge,Jens,n,SaysO,u
Shattered Exile,Neytpoh,n,HawK,h
Concealed Hill,TGW,h,Chaganaga,u
Echo Isles,Happy,u,Sonik,n
Last Refuge,KraV,u,Dise,n
Northern Isles,Rollex,h,ArminvB,o
Echo Isles,Moon,n,FoCuS,o
Last Refuge,Ser,u,Smurf,n
Last Refuge,HoT,n,MisterWinner,h
Northern Isles,Lyn,o,Chaemiko,h
Northern Isles,Biko,u,ArminvB,o
Amazonia,Biko,u,MisterWinner,h
Last Refuge,Sonik,n,RaZZoRMaN,o
Echo Isles,HawK,h,Hipposaur,h
Northern Isles,Ze1Ko,h,Seal,o
Terenas Stand LV,Foggy,n,Cement,u
Tidehunters,MisterWinner,h,Neytpoh,n
Tidehunters,AllTheSmoke,u,Pongo,n
Concealed Hill,Zhou Xixi,n,Sini,o
Terenas Stand LV,Cement,u,Loiu,o
Northern Isles,Happy,u,Furyan,o
Northern Isles,X3-DemoN,h,Ghost OL,u
Concealed Hill,Sunny,h,Ser,u
Last Refuge,XiaoKai,u,Soin,o
Concealed Hill,Dise,n,DeMiGoD,o
Last Refuge,Happy,u,CoopeR,o
Twisted Meadows,CoopeR,o,FoCuS,o
Amazonia,RaZZoRMaN,o,MisterWinner,h
Last Refuge,Fish,h,Gonz,n
Amazonia,Dise,n,MisterWinner,h
Last Refuge,LawLiet,n,FoCuS,o
Last Refuge,Helbisch,u,Tak3r,o
Concealed Hill,Evocore,h,Totoro,n
Amazonia,MisterWinner,h,JadeDark,n
Terenas Stand LV,Robinson,n,GhostDragon,h
Northern Isles,PriesT,h,Rottereye,n
Concealed Hill,Happy,u,NoV,o
Concealed Hill,FoCuS,o,TeRRoR,u
Concealed Hill,WaN,u,TGW,u
Amazonia,Please,n,FeeLx,h
Last Refuge,LawLiet,n,Colorful,n
Turtle Rock,SaiDe,n,Grubby,o
Northern Isles,Sonik,n,Lilyal,u
Last Refuge,Mythos,u,Aware,h
Northern Isles,KraV,u,Sheik,u
Echo Isles,Wiz,n,ZeLL,h
Northern Isles,Lyn,o,Fortitude,h
Concealed Hill,Pcg 123,u,ThundeR,h
Echo Isles,Wiz,n,Blade,h
Amazonia,LawLiet,n,Sok,h
Last Refuge,Happy,u,TGW,u
Echo Isles,CrunCher,h,KiWiKaKi,o
Amazonia,RavinDrannor,o,Deuce,u
Last Refuge,Sooo Unreal,h,XiaOgame,o
Northern Isles,TeRRoR,u,Music,o
Terenas Stand LV,Cement,u,Lubber,u
Last Refuge,DirtBag,h,INSUPERABLE,u
Echo Isles,Dise,n,Sunny,h
Concealed Hill,Please,n,Edo,u
Concealed Hill,Lyn,o,Moon,n
Twisted Meadows,Nujabes,h,JarAsH,o
Concealed Hill,KiWiKaKi,o,Ceron,n
Concealed Hill,Sorah,o,Ramos,o
Terenas Stand LV,Fly100%,o,Eer0,u
Last Refuge,Edo,u,Hipposaur,h
Amazonia,Rahvin,h,X3-DemoN,h
Amazonia,Happy,u,MisterWinner,h
Terenas Stand LV,Moon,n,Colorful,n
Echo Isles,Sonik,n,ThundeR,h
Amazonia,Sheik,u,HoT,n
Echo Isles,Ice orc,o,Zhou Xixi,n
Last Refuge,Soin,o,Foggy,n
Amazonia,Neytpoh,n,Deathnote,h
Amazonia,Sok,h,Colorful,n
Last Refuge,Meecro,n,Rheagal,u
Last Refuge,Pink,u,Eer0,u
Northern Isles,Foggy,n,VortiX,u
Last Refuge,PhiLbOiS,n,Remodemo,u
Echo Isles,Fortitude,h,Pink,u
Concealed Hill,Fortitude,h,Sini,n
Last Refuge,Happy,u,Aeb,u
Northern Isles,MisterWinner,h,Drashk,u
Turtle Rock,LawLiet,n,FoCuS,o
Northern Isles,WaN,u,RaGsen,o
Northern Isles,Hitman,o,SaysO,u
Concealed Hill,Edo,u,Dise,n
Amazonia,Happy,u,LuTr,o
Concealed Hill,FiZiX,u,Divine,u
Northern Isles,VortiX,u,HawK,h
Last Refuge,SDmK,u,MisterWinner,h
Concealed Hill,SeTh,n,BlaST9Z,u
Concealed Hill,Sonik,n,Dise,n
Northern Isles,HawK,h,Please,n
Northern Isles,Eer0,u,Fly100%,o
Terenas Stand LV,Ser,u,MisterWinner,h
Amazonia,MisterWinner,h,AtheistP,h
Concealed Hill,Eer0,u,Colorful,n
Last Refuge,BlaST9Z,n,ZeLL,h
Northern Isles,TGW,u,Gonz,n
Northern Isles,Lion9,u,Smurf,n
Echo Isles,Sonik,n,ToD,h
Concealed Hill,ReseT,n,Lucker,o
Autumn Leaves,Hitman,o,INSUPERABLE,u
Concealed Hill,Lyn,o,Moon,n
Terenas Stand LV,Colorful,n,ThundeR,h
Concealed Hill,ToM,o,Kevin,n
Amazonia,Sok,h,Foggy,n
Northern Isles,Happy,u,Pokey,n
Northern Isles,Sheik,u,Hipposaur,h
Echo Isles,ToM,o,Fish,h
Amazonia,Foggy,n,Tak3r,o
Northern Isles,Lyn,o,Eer0,u
Terenas Stand LV,Lin Guagua,o,Yange,n
Northern Isles,Yumiko,h,Mango,u
Amazonia,Fortitude,h,Foggy,n
Last Refuge,Sonik,n,Dise,n
Concealed Hill,Fortitude,h,ThundeR,h
Last Refuge,ArminvB,o,Darkness,u
Northern Isles,Chaemiko,h,FoCuS,o
Concealed Hill,Foggy,n,Spiral,o
Concealed Hill,Sok,h,Sheik,u
Last Refuge,Sonik,n,Bizzare,o
Concealed Hill,ArminvB,o,ALF (German player),h
Amazonia,Starshaped,n,Kribbinho,n
Echo Isles,LawLiet,n,Chaemiko,h
Echo Isles,KraV,u,ThundeR,h
Northern Isles,Michael,u,ThundeR,h
Northern Isles,EdGE,u,JeanBonbeur,h
Concealed Hill,WaN,u,Deathnote,h
Concealed Hill,Happy,u,HawK,h
Amazonia,Sonik,n,Dise,n
Last Refuge,Rav3n,u,Revenge (Bulgarian player),o
Last Refuge,Ag3nt,h,Chaganaga,u
Northern Isles,HawK,h,SyDe,u
Last Refuge,ToM,o,MisterWinner,h
Northern Isles,Aeb,u,ArminvB,o
Northern Isles,Soulful,h,Halay,u
Northern Isles,Neytpoh,n,MisterWinner,h
Northern Isles,Ceron,n,Mythos,u
Amazonia,Ark,n,Pokey,n
Terenas Stand LV,Ark,n,SaysO,u
Concealed Hill,Arma,o,Biko,u
Terenas Stand LV,SDmK,u,Arma,o
Concealed Hill,LawLiet,n,Chaemiko,h
Last Refuge,Fish,h,MisterWinner,h
Last Refuge,Please,n,Shali,u
Northern Isles,Neytpoh,n,BsK,u
Northern Isles,Spiral,o,Philiwarrior,o
Last Refuge,Pride,o,Divine,u
Echo Isles,Sooo Unreal,h,Hankk,o
Last Refuge,DeNNiS,u,Cement,u
Last Refuge,Lin Guagua,u,Alice,u
Concealed Hill,Hipposaur,h,GodFather,u
Northern Isles,Happy,u,Sonik,n
Concealed Hill,Hipposaur,h,Loiu,o
Northern Isles,Philiwarrior,o,SpoKi,h
Echo Isles,Passion,n,舜天战斗,n
Twisted Meadows,Chaemiko,h,Fortitude,h
Last Refuge,TeRRoR,u,Lado,n
Echo Isles,WaN,u,Robinson,n
Northern Isles,Dise,n,Please,n
Amazonia,Zhou Xixi,n,Fortitude,h
Turtle Rock,Bzddd,n,无道oc,o
Northern Isles,FoCuS,o,TeD,h
Concealed Hill,PhoeNix,n,Cement,u
Terenas Stand LV,Sini,o,Zhou Xixi,n
Concealed Hill,SyDe,u,HammBamm,h
Northern Isles,Neytpoh,n,TeRRoR,u
Last Refuge,LawLiet,n,Blade,h
Northern Isles,Colorful,n,FoCuS,o
Concealed Hill,Aware,h,Mythos,u
Amazonia,Scars,o,TeaTime,n
Concealed Hill,ToM,o,Flopoks,u
Northern Isles,Mosura,u,XeLSinG,o
Twisted Meadows,Wiz,n,InsoliTe,u
Last Refuge,Rici,o,Inspired,h
Last Refuge,Lyn,o,LawLiet,n
Northern Isles,Chaemiko,h,XiaoKai,u
Last Refuge,Soin,o,Lin Guagua,o
Last Refuge,Sonik,n,KiWiKaKi,o
Terenas Stand LV,TGW,u,CoopeR,o
Concealed Hill,Paladyn,n,Cash,o
Northern Isles,INSUPERABLE,u,DirtBag,h
Echo Isles,Pokey,n,Novato,o
Northern Isles,Happy,u,MrGannicus,u
Tidehunters,Hipposaur,h,NoTrixZ,n
Northern Isles,ThundeR,h,Pcg 123,u
Concealed Hill,KiWiKaKi,o,Duck,u
Last Refuge,JokeRn,n,Philiwarrior,o
Turtle Rock,Chaemiko,h,Soin,o
Amazonia,Daille,h,SeTh,n
Concealed Hill,Biko,u,LuTr,o
Last Refuge,SaiDe,n,Michael,u
Last Refuge,JohnnyCage,h,KraV,u
Northern Isles,SeTh,n,DesTr0,h
Echo Isles,ArminvB,o,Counting1,h
Amazonia,ToM,o,Sunny,h
Last Refuge,Happy,u,Foggy,n
Last Refuge,MisterWinner,h,Bee,n
Echo Isles,TH000,h,Lin Guagua,o
Terenas Stand LV,Foggy,n,Colorful,n
Last Refuge,Wiz,n,Hipposaur,h
Amazonia,Counting1,h,Tak3r,o
Echo Isles,Sini,n,Michael,u
Terenas Stand LV,Colorful,n,15sui,h
Amazonia,Eer0,u,Michael,u
Amazonia,Foggy,n,LawLiet,h
Northern Isles,Lyn,o,Fly100%,o
Northern Isles,Reyenir,u,TekRicket,n
Last Refuge,Takulla,h,Sauce (American player),u
Turtle Rock,Soin,o,Foggy,n
Last Refuge,Sheik,u,Edo,u
Echo Isles,Please,n,Fischieee,o
Last Refuge,TeRRoR,u,Sixb0nes,h
Amazonia,MisterWinner,h,PalleS,h
Northern Isles,CoopeR,o,Dise,n
Last Refuge,Cash,o,Ember,u
Twisted Meadows,P1nke,o,Dise,n
Turtle Rock,Happy,u,Please,n
Talonrift Coast,Neytpoh,n,TGW,u
Northern Isles,Lyn,o,Sok,h
Shattered Exile,Sonik,n,NickMoris,n
Concealed Hill,HoT,n,TGW,u
Amazonia,Happy,u,ToD,h
Concealed Hill,Pcg 123,u,无道oc,o
Northern Isles,Deuce,u,HellRaiseR,u
Concealed Hill,TGW,u,CoopeR,o
Last Refuge,Fish,h,Deuce,u
Turtle Rock,Sonik,n,HawK,h
Concealed Hill,CoopeR,o,Cement,u
Northern Isles,Soin,o,Foggy,n
Amazonia,MisterWinner,h,F1nroD,u
Last Snow,Neytpoh,n,HawK,h
Concealed Hill,Moon,n,Foggy,n
Northern Isles,HawK,h,WaN,u
Concealed Hill,GodFather,u,Soulglider,h
Amazonia,Fast,o,Fortitude,h
Echo Isles,XeLSinG,o,Flopoks,u
Terenas Stand LV,HawK,h,Sonik,n
Northern Isles,TimberOwls,h,Inspired,h
Last Refuge,Blade,h,HawK,h
Amazonia,Sonik,n,Sunny,h
Terenas Stand LV,Sini,n,XiaoKai,o
Last Refuge,BlaST9Z,o,InsoliTe,u
Amazonia,Happy,u,Sonik,n
Advantage,Neytpoh,n,Sheik,u
Concealed Hill,Happy,u,Foggy,n
Northern Isles,XlorD,u,WaN,u
Autumn Leaves,MrKenshin,o,Zeni,o
Turtle Rock,XlorD,u,Cash,o
Concealed Hill,Fly100%,o,Moon,n
Last Refuge,Edo,u,MisterWinner,h
Last Refuge,TeRRoR,u,Biko,u
Last Refuge,Happy,u,LiiLD.C,n
Terenas Stand LV,CrunCher,h,Hitman,u
Amazonia,Heisman,h,Rottereye,n
Echo Isles,Happy,u,ToD,h
Northern Isles,Foggy,n,TimberOwls,h
Northern Isles,Fortitude,h,Alice,n
Last Refuge,DrK,u,Nujabes,h
Concealed Hill,Dise,n,SDmK,u
Last Refuge,Deathnote,h,HoT,n
Twisted Meadows,ToX,u,PalleS,h
Amazonia,XiaoKai,u,Fly100%,o
Amazonia,Deathnote,h,Infinity,h
Terenas Stand LV,PhoeNix,n,Robinson,n
Turtle Rock,Colorful,n,Sini,o
Terenas Stand LV,ToM,o,Kevin,n
Echo Isles,Kevin,n,Rigety,o
Echo Isles,XeLSinG,o,Hankk,o
Last Refuge,Ag3nt,h,ToX,u
Last Refuge,Blade,h,ReseT,n
Last Refuge,RaGsen,o,JokeRn,n
Echo Isles,Colorful,n,ThundeR,h
Amazonia,Blade,h,HawK,h
Last Refuge,Ag3nt,h,Krawty,n
Northern Isles,YoungUndead,u,Deadmouz,u
Concealed Hill,Sooo Unreal,h,Ark,n
Echo Isles,Sheik,u,Edo,u
Concealed Hill,Soin,o,Robinson,n
Concealed Hill,Sok,h,Lyn,o
Amazonia,Happy,u,BsK,u
Turtle Rock,Fortitude,h,Fast,o
Echo Isles,TGW,u,JusTDoiTpLs,u
Echo Isles,Spiral,o,Edo,u
Northern Isles,Ajk,n,Singroso,h
Terenas Stand LV,JarAsH,o,Manusiku,u
Terenas Stand LV,Edo,u,Rigety,o
Northern Isles,Blade,h,ThundeR,h
Gold Port,Blade,h,TGW,u
Amazonia,Drunken,h,Kevin,n
Last Refuge,VortiX,u,ThorZaIN,h
Last Refuge,Sonik,n,MisterWinner,h
Northern Isles,ThorZaIN,h,SaiDe,n
Terenas Stand LV,ToD,h,Sonik,n
Concealed Hill,Please,n,W1gan,n
Echo Isles,Mosura,u,ToM,o
Last Refuge,PriesT,h,Dazzle,h
Echo Isles,Sonik,n,MisterWinner,h
Northern Isles,HartCrane,o,OOrs,n
Northern Isles,Neytpoh,n,Sheik,u
Northern Isles,Sok,h,Lin Guagua,o
Northern Isles,Kevin,n,ToM,o
Amazonia,,,,
Last Refuge,Eer0,u,SyDe,u
Tidehunters,MisterWinner,h,Sonik,n
Turtle Rock,LawLiet,n,Fly100%,o
Amazonia,Soin,o,Lin Guagua,o
Last Refuge,Moon,n,Infi,h
Last Refuge,Biko,u,Sonik,n
Autumn Leaves,Spiral,o,Edo,u
Northern Isles,Dise,n,Cement,u
Northern Isles,SDmK,u,MisterWinner,h
Northern Isles,Fish,h,Dise,n
Turtle Rock,XlorD,u,Happy,u
Last Refuge,Arma,o,FpXy,n
Northern Isles,Rottereye,n,Deuce,u
Last Refuge,EnTe,u,ToD,h
Concealed Hill,Nujabes,h,Manusiku,u
Northern Isles,Sooo Unreal,h,Lnclnerator,o
Northern Isles,CrunCher,h,Hitman,o
Northern Isles,MisterWinner,h,Batmetal74,u
Last Refuge,Deuce,u,Pokey,n
Northern Isles,Chiko,o,Lilyal,u
Twisted Meadows,Happy,u,Sonik,n
Northern Isles,XlorD,u,EnTe,u
Northern Isles,Alice,n,Bido,h
Turtle Rock,Happy,u,ToRReNtE,n
Terenas Stand LV,Neytpoh,n,Sok,h
Echo Isles,Loopin,u,Feredy,n
Northern Isles,Lyn,o,Sok,h
Tidehunters,Starshaped,n,Cash,o
Last Refuge,FoCuS,o,LawLiet,n
Northern Isles,Sheik,u,HoT,n
Last Refuge,Happy,u,HawK,h
Concealed Hill,Moon,n,WFZ,u
Turtle Rock,LawLiet,n,Moon,n
Last Refuge,PalleS,h,SexySeahorse,n
Terenas Stand LV,Cement,u,Counting1,h
Last Refuge,Sixb0nes,h,MisterWinner,h
Twisted Meadows,Grubby,o,Sonik,n
Northern Isles,Moon,n,Michael,u
Northern Isles,XeLSinG,o,MisterWinner,h
Last Refuge,FoCuS,o,Sok,h
Echo Isles,Colorful,n,Mango,u
Echo Isles,Mosura,u,Ghooozi,n
Last Refuge,Sonik,n,Inspired,h
Last Refuge,SDmK,u,Cement,u
Echo Isles,Sheik,u,TimberOwls,h
Echo Isles,Happy,u,Michael,u
Last Refuge,Sonik,n,TiesioG,o
Last Refuge,Edo,u,Sonik,n
Last Refuge,AtheistP,h,MisterWinner,h
Talonrift Coast,Sheik,u,Sonik,n
Last Refuge,Franzyzz,o,Philiwarrior,o
Concealed Hill,FoCuS,o,Sok,h
Concealed Hill,Moon,n,Fortitude,h
Northern Isles,舜天战斗,n,世界尽头,n
Last Refuge,KiWiKaKi,o,Starshaped,n
Terenas Stand LV,Gonz,n,Fog,n
Northern Isles,ArminvB,o,PteN,o
Last Refuge,ToM,o,EnTe,u
Northern Isles,Deathnote,h,KroLu,o
Northern Isles,Please,n,Sheik,u
Amazonia,Fortitude,h,TH000,n
Brightwater Oasis,Happy,u,Sheik,u
Northern Isles,Lyn,o,FoCuS,o
Northern Isles,INSUPERABLE,u,Hitman,o
Brightwater Oasis,Happy,u,Sheik,u
Last Refuge,Sooo Unreal,h,Ark,n
Northern Isles,CarsoNNN,o,Mythos,u
Concealed Hill,Happy,u,Sonik,n
Amazonia,JohnnyCage,h,HawK,h
Twisted Meadows,Moon,n,Lyn,o
Last Refuge,Colorful,n,Passion,n
Last Snow,Sheik,u,Happy,u
Last Refuge,XlorD,u,Sonik,n
Terenas Stand LV,Dise,n,Blade,h
Terenas Stand LV,Ark,n,Duck,u
Echo Isles,MisterWinner,h,ArminvB,o
Last Refuge,Bug,o,珊珊的猫,o
Echo Isles,Zhou Xixi,n,Lin Guagua,o
Last Refuge,HawK,h,Sheik,u
Northern Isles,HawK,h,Sonik,n
Amazonia,,,,
Amazonia,Happy,u,Temskiy,o
Concealed Hill,Lin Guagua,o,Soin,o
Last Refuge,HawK,h,Inspired,h
Echo Isles,Believe (Canadian player),n,Fabrizzio,o
Northern Isles,Happy,u,Michael,u
Northern Isles,Paxa,u,ArminvB,o
Last Refuge,Deathnote,h,FoCuS,o
Amazonia,Wiz,n,Rici,o
Northern Isles,Michael,u,Lyn,o
Last Refuge,Sheik,u,Gulliver,u
Amazonia,Fish,h,RaZZoRMaN,o
Autumn Leaves,KiWiKaKi,o,Hunter,n
Last Refuge,ArminvB,o,Remodemo,u
Northern Isles,Michael,u,Foggy,n
Echo Isles,DrK,n,Totoro,n
Northern Isles,Sonik,n,Edo,u
Amazonia,GoaL,u,舜天战斗,n
Northern Isles,Drunken,h,SpoKi,h
Northern Isles,EnTe,u,Dise,n
Turtle Rock,Meecro,n,HartCrane,o
Echo Isles,Colorful,n,Eer0,u
Last Refuge,WaN,u,Biko,u
Last Refuge,DirtBag,h,Phil,h
Concealed Hill,FoCuS,o,Lyn,o
Twisted Meadows,Happy,u,Sonik,n
Northern Isles,Colorful,n,Ice orc,o
Northern Isles,Happy,u,Rennaissanse,n
Terenas Stand LV,DirtBag,h,INSUPERABLE,u
Concealed Hill,Michael,u,Infi,h
Echo Isles,Moon,n,Eer0,u
Autumn Leaves,Loopin,u,NovA (Iranian player),u
Concealed Hill,ToM,o,Ser,u
Last Refuge,Soin,o,Moon,n
Concealed Hill,Duck,u,Alexchen,n
Echo Isles,Happy,u,HawK,h
Echo Isles,Sonik,n,HoT,n
Concealed Hill,Spiral,n,ToD,h
Terenas Stand LV,Deuce,u,Ark,n
Echo Isles,Sonik,n,Deuce,u
Echo Isles,Lyn,o,LawLiet,n
Northern Isles,TeRRoR,u,Sonik,n
Concealed Hill,Ccrank,h,Typhoon (Luxembourgish player),h
Northern Isles,FoCuS,o,Foggy,n
Turtle Rock,Blade,h,Sonik,n
Twisted Meadows,Colorful,n,Eer0,u
Northern Isles,Fortitude,h,WFZ,u
Amazonia,Happy,u,Foggy,n
Amazonia,Eer0,u,Michael,u
Northern Isles,Ze1Ko,h,Jelke,n
Terenas Stand LV,Bido,h,Sonik,n
Northern Isles,15sui,h,SyDe,u
Northern Isles,Michael,u,Alice,n
Last Refuge,Manusiku,u,Nujabes,h
Concealed Hill,Fish,h,Mosura,u
Concealed Hill,Daille,h,BlaST9Z,n
Autumn Leaves,InsoliTe,u,ZeLL,h
Terenas Stand LV,ToD,h,JokeRn,n
Terenas Stand LV,FoCuS,o,Foggy,n
Last Refuge,Neytpoh,n,Dise,n
Concealed Hill,X3-DemoN,h,Singroso,h
Concealed Hill,Chaemiko,h,XiaoKai,u
Northern Isles,Happy,u,TGW,u
Northern Isles,Rici,o,Dise,n
Terenas Stand LV,Ag3nt,h,Lilyal,u
Northern Isles,XeLSinG,o,YoungUndead,u
Concealed Hill,Changer,h,PalleS,h
Echo Isles,Moon,n,Fortitude,h
Northern Isles,KiWiKaKi,o,KraV,u
Shattered Exile,Cash,o,HawK,h
Northern Isles,Hankk,o,ArminvB,o
Northern Isles,MisterWinner,h,FeeLx,h
Echo Isles,LawLiet,n,Sheik,u
Amazonia,ThorZaIN,h,Edo,u
Amazonia,HawK,h,Please,n
Concealed Hill,Neytpoh,n,VictorZorin,u
Last Refuge,FeeLx,h,Smoshy,n
Northern Isles,LawLiet,n,Soin,o
Terenas Stand LV,Neytpoh,n,Simba,h
Concealed Hill,ToM,o,CJIeMoBuK59,n
Last Refuge,LawLiet,h,Sok,o
Northern Isles,Edo,u,MisterWinner,h
Amazonia,Ceron,n,Divine,u
Northern Isles,Ceron,n,Deuce,u
Concealed Hill,ArminvB,o,Sixb0nes,h
Northern Isles,TGW,u,XeLSinG,o
Last Refuge,Sonik,n,SpiritLink,h
Last Refuge,EnTe,u,ToD,o
Amazonia,EnTe,u,Kevin,n
Terenas Stand LV,ToD,h,RaGsen,o
Last Refuge,Hipposaur,h,NoTrixZ,n
Last Refuge,Fly100%,o,XiaoKai,u
Concealed Hill,Mythos,u,Alexchen,n
Amazonia,Dise,n,Sunny,h
Concealed Hill,Deathnote,h,Neytpoh,n
Last Refuge,Seal,o,Ze1Ko,h
Turtle Rock,Lubber,u,Crrpt,o
Turtle Rock,Blade,h,Please,n
Concealed Hill,Sonik,n,ToD,h
Amazonia,Tak3r,o,Runyou,o
Terenas Stand LV,CoopeR,o,LongWalk,n
Twisted Meadows,Duck,u,Rottereye,n
Terenas Stand LV,Foggy,n,Spiral,o
Last Refuge,XlorD,u,Drunken,h
Autumn Leaves,Sonik,n,Hipposaur,h
Advantage,Neytpoh,n,Deathnote,h
Last Refuge,Hitman,o,INSUPERABLE,u
Amazonia,Happy,u,Dise,n
Turtle Rock,Fish,h,PalleS,h
Last Refuge,,,,
Northern Isles,LucifroN,o,Paladyn,n
Last Refuge,Fortitude,h,Eer0,u
Northern Isles,ToM,o,Inspired,h
Amazonia,Dise,n,Please,n
Last Refuge,Chaemiko,h,15sui,n
Amazonia,TeRRoR,u,Sonik,n
Northern Isles,DeMiGoD,o,Destroyer (Iranian player),u
Last Refuge,Sw1tch,o,ToM,o
Turtle Rock,Foggy,n,Michael,u
Concealed Hill,CoopeR,o,XlorD,u
Terenas Stand LV,Lin Guagua,o,Passion,n
Last Snow,Sheik,u,Sonik,n
Terenas Stand LV,Hunter,n,FiZiX,u
Last Refuge,Michael,u,Alice,n
Last Snow,Starshaped,n,Hankk,o
Shattered Exile,Lion9,u,W1gan,n
Concealed Hill,SpoKi,h,JokeRn,n
Northern Isles,KiWiKaKi,o,INSUPERABLE,u
Northern Isles,EnTe,u,Sonik,n
Northern Isles,Please,n,CoopeR,o
Last Refuge,Michael,u,Edo,u
Talonrift Coast,LongWalk,n,MisterWinner,h
Northern Isles,Cement,u,MisterWinner,h
Amazonia,Michael,u,Edo,u
Concealed Hill,Colorful,n,Soin,o
Tidehunters,Cash,o,KraV,u
Last Refuge,AllTheSmoke,u,WTii,h
Amazonia,Spiral,o,Edo,u
Amazonia,Sini,n,珊珊的猫,o
Turtle Rock,FoCuS,o,Chaemiko,h
Last Refuge,Ice orc,o,Lin Guagua,o
Concealed Hill,Edo,u,JadeDark,n
Terenas Stand LV,Fly100%,o,Colorful,n
Northern Isles,Ag3nt,h,Mosura,u
Northern Isles,Bizzare,o,Ze1Ko,h
Amazonia,Fish,h,ToM,o
Northern Isles,Michael,u,Foggy,n
Concealed Hill,EnTe,u,LongWalk,n
Amazonia,MisterWinner,h,AtheistP,h
Last Refuge,Sini,n,GoaL,u
Terenas Stand LV,TGW,u,JohnnyCage,h
Northern Isles,HawK,h,LiiLD.C,n
Last Refuge,Eer0,u,Chaemiko,h
Northern Isles,ParadoCS,o,Cement,u
Concealed Hill,LawLiet,n,FoCuS,o
Terenas Stand LV,Sonik,n,Edo,u
Last Refuge,FoCuS,o,Moon,n
Last Refuge,Please,n,Sheik,u
Echo Isles,Infi,h,Moon,n
Concealed Hill,Sonik,n,Stormrage55,n
Last Refuge,Hipposaur,h,DV,u
Northern Isles,Aeb,u,KDweeb,h
Concealed Hill,FoCuS,o,Sok,h
Last Refuge,Oxx,o,BsK,u
Last Refuge,Michael,u,Aeb,u
Concealed Hill,Edo,u,NightEnD,u
Amazonia,Blade,h,Chanji,o
Last Refuge,RaZZoRMaN,o,Edo,u
Northern Isles,RaGsen,o,SpoKi,u
Northern Isles,ArminvB,o,Helbisch,u
Northern Isles,Happy,u,WaN,u
Northern Isles,Chaemiko,h,FoCuS,o
Northern Isles,Franzyzz,o,Drunken,h
Last Refuge,Edo,u,Dise,n
Last Refuge,HoT,n,Biko,u
Echo Isles,Fly100%,o,Soin,o
Last Refuge,P1nke,o,Tripode,u
Amazonia,Please,n,MisterWinner,h
Northern Isles,Franzyzz,o,Helbisch,u
Northern Isles,ThundeR,h,Please,n
Concealed Hill,Cash,o,Sheik,u
Last Refuge,CoopeR,o,SaiDe,n
Concealed Hill,Hunter,n,DirtBag,h
Concealed Hill,Gonz,n,ArminvB,o
Amazonia,Illisori,n,Deadmouz,u
Concealed Hill,LawLiet,n,FoCuS,o
Concealed Hill,Fortitude,h,WFZ,u
Last Refuge,DirtBag,h,Alexchen,n
Concealed Hill,Asliv,h,Nuelltz,n
Amazonia,Fortitude,h,Sok,h
Echo Isles,Sheik,u,ThundeR,h
Echo Isles,INSUPERABLE,u,Colorful,n
Terenas Stand LV,Colorful,n,Sok,h
Last Refuge,,,,
Northern Isles,Flopoks,u,MisterWinner,h
Concealed Hill,PalleS,h,Soulful,o
Northern Isles,LiiLD.C,n,ToD,h
Concealed Hill,Hailua,h,Walter,n
Amazonia,Sonik,n,Stormrage55,n
Last Refuge,15sui,h,ThundeR,h
Northern Isles,Sheik,u,TGW,u
Echo Isles,Edo,u,KraV,u
Concealed Hill,WaN,u,Drunken,h
Concealed Hill,ZeLL,h,SeTh,n
Echo Isles,Biko,u,Tak3r,o
Concealed Hill,Decadent God,o,Sini,n
Last Snow,Fish,h,Cash,o
Concealed Hill,Dise,n,Chiko,o
Concealed Hill,Please,n,Scower,o
Last Refuge,HellRaiseR,u,SaysO,u
Echo Isles,Fly100%,o,FoCuS,o
Amazonia,MisterWinner,h,AtheistP,h
Echo Isles,HawK,h,Happy,u
Terenas Stand LV,INSUPERABLE,u,Deuce,u
Concealed Hill,Sonik,n,Fish,h
Echo Isles,Zhou Xixi,n,Yumiko,h
Northern Isles,FoCuS,o,Fly100%,o
Last Refuge,Spiral,o,Foggy,n
Amazonia,Dise,n,MisterWinner,h
Last Refuge,Pink,u,XiaoKai,o
Last Refuge,NoV,o,Vitichka,n
Concealed Hill,Colorful,n,Edo,u
Northern Isles,Michael,u,ThundeR,h
Twisted Meadows,JokeRn,n,RaGsen,o
Northern Isles,Dise,n,DeMiGoD,o
Northern Isles,Edo,u,Teddster,o
Northern Isles,XlorD,u,ToD,h
Northern Isles,FoCuS,o,Pink,u
Northern Isles,ArminvB,o,Hipposaur,h
Northern Isles,XiaoKai,u,FoCuS,o
Amazonia,NickMoris,n,Acolyte Streamer,h
Amazonia,Fortitude,h,FoCuS,o
Twisted Meadows,HellRaiseR,u,Duck,u
Northern Isles,Hitman,h,Lnclnerator,o
Twisted Meadows,XlorD,u,Rigety,o
Concealed Hill,Gonz,n,Flopoks,u
Concealed Hill,Flopoks,u,Abuser100,u
Last Refuge,Powlok,h,NoBigThing,u
Last Refuge,GodFather,u,Gonz,n
