Date,Match name,Map,Winner,Winner race,Loser,Loser race
2020-12-05,Warcraft Gold League/2020/Winter#ID24_Moon_vs_WFZ_on_Echo_Isles_in_Quarterfinals_Map_2,Echo Isles,Moon,n,WFZ,u
2020-12-05,Warcraft Gold League/2020/Winter#ID24_Moon_vs_WFZ_on_Northern_Isles_in_Quarterfinals_Map_3,Northern Isles,WFZ,u,Moon,n
2020-12-05,Warcraft Gold League/2020/Winter#ID24_Moon_vs_WFZ_on_Terenas_Stand_LV_in_Quarterfinals_Map_1,Terenas Stand LV,Moon,n,WFZ,u
2020-12-06,Pandaria Solo League/Season 3/Division 1#ID17_SeTh_vs_KraV_on_Echo_Isles_in_Regular_season_Week_5_Map_2,Echo Isles,SeTh,n,KraV,o
2020-12-06,Pandaria Solo League/Season 3/Division 1#ID17_SeTh_vs_KraV_on_Last_Refuge_in_Regular_season_Week_5_Map_1,Last Refuge,KraV,u,SeTh,n
2020-12-06,Pandaria Solo League/Season 3/Division 1#ID17_SeTh_vs_KraV_on_Northern_Isles_in_Regular_season_Week_5_Map_3,Northern Isles,KraV,h,SeTh,n
2020-12-06,Pandaria Solo League/Season 3/Division 2#ID17_JarAsH_vs_Manusiku_on_Northern_Isles_in_Regular_season_Week_5_Map_2,Northern Isles,JarAsH,o,Manusiku,u
2020-12-06,Pandaria Solo League/Season 3/Division 2#ID17_JarAsH_vs_Manusiku_on_Terenas_Stand_LV_in_Regular_season_Week_5_Map_1,Terenas Stand LV,JarAsH,o,Manusiku,u
2020-12-06,Pandaria Solo League/Season 3/Division 2#ID18_Totoro_vs_DrK_on_Amazonia_in_Regular_season_Week_5_Map_1,Amazonia,DrK,o,Totoro,n
2020-12-06,Pandaria Solo League/Season 3/Division 2#ID18_Totoro_vs_DrK_on_Echo_Isles_in_Regular_season_Week_5_Map_2,Echo Isles,DrK,n,Totoro,n
2020-12-06,SCILL Play WC3 Winter Special Weekly Finals/2#ID1_Please_vs_Happy_on_Last_Refuge_in_Semifinals_Map_1,Last Refuge,Happy,u,Please,n
2020-12-06,SCILL Play WC3 Winter Special Weekly Finals/2#ID1_Please_vs_Happy_on_Turtle_Rock_in_Semifinals_Map_2,Turtle Rock,Happy,u,Please,n
2020-12-06,SCILL Play WC3 Winter Special Weekly Finals/2#ID2_hankk_vs_biko_on_Amazonia_in_Semifinals_Map_2,Amazonia,Biko,u,Hankk,o
2020-12-06,SCILL Play WC3 Winter Special Weekly Finals/2#ID2_hankk_vs_biko_on_Echo_Isles_in_Semifinals_Map_3,Echo Isles,Hankk,o,Biko,u
2020-12-06,SCILL Play WC3 Winter Special Weekly Finals/2#ID2_hankk_vs_biko_on_Northern_Isles_in_Semifinals_Map_1,Northern Isles,Hankk,o,Biko,u
2020-12-06,SCILL Play WC3 Winter Special Weekly Finals/2#ID3_Happy_vs_hankk_on_Amazonia_in_Finals_Map_3,Amazonia,Happy,u,Hankk,o
2020-12-06,SCILL Play WC3 Winter Special Weekly Finals/2#ID3_Happy_vs_hankk_on_Concealed_Hill_in_Finals_Map_1,Concealed Hill,Happy,u,Hankk,o
2020-12-06,SCILL Play WC3 Winter Special Weekly Finals/2#ID3_Happy_vs_hankk_on_Northern_Isles_in_Finals_Map_2,Northern Isles,Happy,u,Hankk,o
2020-12-06,Warcraft Gold League/2020/Winter#ID25_Fly100%_vs_Infi_on_Echo_Isles_in_Semifinals_Map_1,Echo Isles,Infi,h,Fly100%,o
2020-12-06,Warcraft Gold League/2020/Winter#ID25_Fly100%_vs_Infi_on_Last_Refuge_in_Semifinals_Map_3,Last Refuge,Infi,n,Fly100%,o
2020-12-06,Warcraft Gold League/2020/Winter#ID25_Fly100%_vs_Infi_on_Northern_Isles_in_Semifinals_Map_4,Northern Isles,Infi,u,Fly100%,o
2020-12-06,Warcraft Gold League/2020/Winter#ID25_Fly100%_vs_Infi_on_Turtle_Rock_in_Semifinals_Map_2,Turtle Rock,Fly100%,o,Infi,o
2020-12-06,Warcraft Gold League/2020/Winter#ID26_Michael_vs_Moon_on_Echo_Isles_in_Semifinals_Map_2,Echo Isles,Moon,n,Michael,u
2020-12-06,Warcraft Gold League/2020/Winter#ID26_Michael_vs_Moon_on_Northern_Isles_in_Semifinals_Map_3,Northern Isles,Moon,n,Michael,u
2020-12-06,Warcraft Gold League/2020/Winter#ID26_Michael_vs_Moon_on_Terenas_Stand_LV_in_Semifinals_Map_1,Terenas Stand LV,Moon,n,Michael,u
2020-12-06,Warcraft Gold League/2020/Winter#ID27_Infi_vs_Moon_on_Concealed_Hill_in_Finals_Map_2,Concealed Hill,Infi,h,Moon,n
2020-12-06,Warcraft Gold League/2020/Winter#ID27_Infi_vs_Moon_on_Echo_Isles_in_Finals_Map_3,Echo Isles,Infi,h,Moon,n
2020-12-06,Warcraft Gold League/2020/Winter#ID27_Infi_vs_Moon_on_Last_Refuge_in_Finals_Map_1,Last Refuge,Infi,h,Moon,n
2020-12-06,Warcraft Gold League/2020/Winter#ID28_Fly100%_vs_Michael_on_Northern_Isles_in_3rd_Place_Match_Map_2,Northern Isles,Michael,u,Fly100%,o
2020-12-06,Warcraft Gold League/2020/Winter#ID28_Fly100%_vs_Michael_on_Terenas_Stand_LV_in_3rd_Place_Match_Map_1,Terenas Stand LV,Michael,u,Fly100%,o
2020-12-07,CKEC Warcraft 3 2020#ID3_Lyn_vs_Sok_on_Echo_Isles_in_Quarterfinals_Map_2,Echo Isles,Lyn,o,Sok,h
2020-12-07,CKEC Warcraft 3 2020#ID3_Lyn_vs_Sok_on_Northern_Isles_in_Quarterfinals_Map_1,Northern Isles,Lyn,o,Sok,h
2020-12-07,CKEC Warcraft 3 2020#ID4_Colorful_vs_ThundeR_on_Echo_Isles_in_Quarterfinals_Map_1,Echo Isles,Colorful,n,ThundeR,h
2020-12-07,CKEC Warcraft 3 2020#ID4_Colorful_vs_ThundeR_on_Terenas_Stand_LV_in_Quarterfinals_Map_2,Terenas Stand LV,Colorful,n,ThundeR,h
2020-12-07,CKEC Warcraft 3 2020#ID5_LawLiet_vs_Chaemiko_on_Concealed_Hill_in_Quarterfinals_Map_1,Concealed Hill,LawLiet,n,Chaemiko,h
2020-12-07,CKEC Warcraft 3 2020#ID5_LawLiet_vs_Chaemiko_on_Last_Refuge_in_Quarterfinals_Map_2,Last Refuge,LawLiet,n,Chaemiko,h
2020-12-07,CKEC Warcraft 3 2020#ID6_eer0_vs_Michael_on_Amazonia_in_Quarterfinals_Map_1,Amazonia,Eer0,u,Michael,u
2020-12-07,CKEC Warcraft 3 2020#ID6_eer0_vs_Michael_on_Concealed_Hill_in_Quarterfinals_Map_3,Concealed Hill,Eer0,u,Michael,u
2020-12-07,CKEC Warcraft 3 2020#ID6_eer0_vs_Michael_on_Last_Refuge_in_Quarterfinals_Map_2,Last Refuge,Michael,u,Eer0,u
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID16_MisterWinner_vs_Diesel_(Russian_player)_on_Terenas_Stand_LV_in_Round_of_16_Map_1,Terenas Stand LV,MisterWinner,h,Diesel (Russian player),n
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID17_Neytpoh_vs_Gonz_on_Concealed_Hill_in_Quarterfinals_Map_1,Concealed Hill,Neytpoh,n,Gonz,n
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID20_Bee_vs_MisterWinner_on_Last_Refuge_in_Quarterfinals_Map_1,Last Refuge,MisterWinner,h,Bee,n
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID29_YoungUndead_vs_Gulliver_on_Northern_Isles_in_Losers_Round_3_Map_1,Northern Isles,YoungUndead,u,Gulliver,h
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID34_Gonz_vs_Cement_on_Terenas_Stand_LV_in_Losers_Round_4_Map_1,Terenas Stand LV,Cement,u,Gonz,n
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID39_Neytpoh_vs_Please_on_Concealed_Hill_in_Semifinals_Map_1,Concealed Hill,Neytpoh,n,Please,n
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID40_Stranik_vs_MisterWinner_on_Amazonia_in_Semifinals_Map_1,Amazonia,Dise,n,MisterWinner,h
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID41_Neytpoh_vs_Stranik_on_Echo_Isles_in_Winners'_Final_Map_2,Echo Isles,Neytpoh,n,Dise,n
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID41_Neytpoh_vs_Stranik_on_Last_Refuge_in_Winners'_Final_Map_1,Last Refuge,Neytpoh,n,Dise,n
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID42_MisterWinner_vs_biko_on_Amazonia_in_Losers_Round_6_Map_1,Amazonia,Biko,u,MisterWinner,h
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID44_biko_vs_Bee_on_Concealed_Hill_in_Losers_round_7_Map_1,Concealed Hill,Biko,u,Bee,n
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID45_Stranik_vs_biko_on_Amazonia_in_Losers_Final_Map_1,Amazonia,Dise,n,Biko,u
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID45_Stranik_vs_biko_on_Last_Refuge_in_Losers_Final_Map_2,Last Refuge,Dise,n,Biko,u
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID46_Neytpoh_vs_Stranik_on_Advantage_in_Grand_Final_Map_1,Advantage,Neytpoh,n,Dise,n
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID46_Neytpoh_vs_Stranik_on_Amazonia_in_Grand_Final_Map_3,Amazonia,Neytpoh,n,Dise,n
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID46_Neytpoh_vs_Stranik_on_Last_Refuge_in_Grand_Final_Map_2,Last Refuge,Neytpoh,n,Dise,n
2020-12-07,Moscow Cybersport/Season 2/Qualifier 8#ID4_ParadoCS_vs_Cement_on_Northern_Isles_in_Round_of_32_Map_1,Northern Isles,ParadoCS,o,Cement,u
2020-12-07,Pandaria Solo League/Season 3/Division 1#ID12_KraV_vs_blaST9Z_on_Echo_Isles_in_Regular_season_Week_3_Map_2,Echo Isles,KraV,n,BlaST9Z,h
2020-12-07,Pandaria Solo League/Season 3/Division 1#ID12_KraV_vs_blaST9Z_on_Last_Refuge_in_Regular_season_Week_3_Map_1,Last Refuge,KraV,o,BlaST9Z,o
2020-12-07,Pandaria Solo League/Season 3/Division 1#ID22_InsoliTe_vs_blaST9Z_on_Echo_Isles_in_Regular_season_Week_6_Map_1,Echo Isles,BlaST9Z,o,InsoliTe,u
2020-12-07,Pandaria Solo League/Season 3/Division 1#ID22_InsoliTe_vs_blaST9Z_on_Last_Refuge_in_Regular_season_Week_6_Map_2,Last Refuge,InsoliTe,u,BlaST9Z,o
2020-12-07,Pandaria Solo League/Season 3/Division 1#ID22_InsoliTe_vs_blaST9Z_on_Terenas_Stand_LV_in_Regular_season_Week_6_Map_3,Terenas Stand LV,BlaST9Z,o,InsoliTe,u
2020-12-08,CKEC Warcraft 3 2020#ID7_Lyn_vs_Colorful_on_Concealed_Hill_in_Semifinals_Map_1,Concealed Hill,Lyn,o,Colorful,n
2020-12-08,CKEC Warcraft 3 2020#ID7_Lyn_vs_Colorful_on_Last_Refuge_in_Semifinals_Map_2,Last Refuge,Colorful,n,Lyn,o
2020-12-08,CKEC Warcraft 3 2020#ID7_Lyn_vs_Colorful_on_Terenas_Stand_LV_in_Semifinals_Map_3,Terenas Stand LV,Lyn,o,Colorful,n
2020-12-08,CKEC Warcraft 3 2020#ID8_LawLiet_vs_eer0_on_Concealed_Hill_in_Semifinals_Map_2,Concealed Hill,Eer0,u,LawLiet,n
2020-12-08,CKEC Warcraft 3 2020#ID8_LawLiet_vs_eer0_on_Echo_Isles_in_Semifinals_Map_1,Echo Isles,LawLiet,n,Eer0,u
2020-12-08,CKEC Warcraft 3 2020#ID8_LawLiet_vs_eer0_on_Twisted_Meadows_in_Semifinals_Map_3,Twisted Meadows,LawLiet,n,Eer0,u
2020-12-08,CKEC Warcraft 3 2020#ID9_Lyn_vs_LawLiet_on_Concealed_Hill_in_Finals_Map_5,Concealed Hill,LawLiet,n,Lyn,o
2020-12-08,CKEC Warcraft 3 2020#ID9_Lyn_vs_LawLiet_on_Echo_Isles_in_Finals_Map_2,Echo Isles,Lyn,o,LawLiet,n
2020-12-08,CKEC Warcraft 3 2020#ID9_Lyn_vs_LawLiet_on_Last_Refuge_in_Finals_Map_4,Last Refuge,Lyn,o,LawLiet,n
2020-12-08,CKEC Warcraft 3 2020#ID9_Lyn_vs_LawLiet_on_Northern_Isles_in_Finals_Map_1,Northern Isles,LawLiet,n,Lyn,o
2020-12-08,CKEC Warcraft 3 2020#ID9_Lyn_vs_LawLiet_on_Twisted_Meadows_in_Finals_Map_3,Twisted Meadows,LawLiet,n,Lyn,o
2020-12-08,ESL Open Cup/45#ID10_Stormrage55_vs_Slavco_on_Concealed_Hill_in_Round_of_16_Map_1,Concealed Hill,Stormrage55,n,Slavco,o
2020-12-08,ESL Open Cup/45#ID11_Chiko_vs_Sonik_on_Last_Refuge_in_Round_of_16_Map_1,Last Refuge,Sonik,n,Chiko,o
2020-12-08,ESL Open Cup/45#ID12_Happy_vs_SushiLicious_on_Echo_Isles_in_Quarterfinals_Map_1,Echo Isles,Happy,u,SushiLicious,u
2020-12-08,ESL Open Cup/45#ID12_Happy_vs_SushiLicious_on_Last_Refuge_in_Quarterfinals_Map_2,Last Refuge,Happy,u,SushiLicious,u
2020-12-08,ESL Open Cup/45#ID13_XeLSinG_vs_MisterWinner_on_Amazonia_in_Quarterfinals_Map_1,Amazonia,XeLSinG,o,MisterWinner,h
2020-12-08,ESL Open Cup/45#ID13_XeLSinG_vs_MisterWinner_on_Northern_Isles_in_Quarterfinals_Map_2,Northern Isles,XeLSinG,o,MisterWinner,h
2020-12-08,ESL Open Cup/45#ID14_Stranik_vs_Edo_on_Concealed_Hill_in_Quarterfinals_Map_2,Concealed Hill,Edo,u,Dise,n
2020-12-08,ESL Open Cup/45#ID14_Stranik_vs_Edo_on_Northern_Isles_in_Quarterfinals_Map_1,Northern Isles,Edo,u,Dise,n
2020-12-08,ESL Open Cup/45#ID15_Stormrage55_vs_Sonik_on_Concealed_Hill_in_Quarterfinals_Map_2,Concealed Hill,Sonik,n,Stormrage55,n
2020-12-08,ESL Open Cup/45#ID15_Stormrage55_vs_Sonik_on_Last_Refuge_in_Quarterfinals_Map_1,Last Refuge,Sonik,n,Stormrage55,n
2020-12-08,ESL Open Cup/45#ID16_Happy_vs_XeLSinG_on_Concealed_Hill_in_Semifinals_Map_2,Concealed Hill,Happy,u,XeLSinG,o
2020-12-08,ESL Open Cup/45#ID16_Happy_vs_XeLSinG_on_Northern_Isles_in_Semifinals_Map_1,Northern Isles,Happy,u,XeLSinG,o
2020-12-08,ESL Open Cup/45#ID17_Edo_vs_Sonik_on_Northern_Isles_in_Semifinals_Map_1,Northern Isles,Sonik,n,Edo,u
2020-12-08,ESL Open Cup/45#ID17_Edo_vs_Sonik_on_Terenas_Stand_LV_in_Semifinals_Map_2,Terenas Stand LV,Sonik,n,Edo,u
2020-12-08,ESL Open Cup/45#ID18_Happy_vs_Sonik_on_Last_Refuge_in_Finals_Map_3,Last Refuge,Happy,u,Sonik,n
2020-12-08,ESL Open Cup/45#ID18_Happy_vs_Sonik_on_Northern_Isles_in_Finals_Map_1,Northern Isles,Happy,u,Sonik,n
2020-12-08,ESL Open Cup/45#ID18_Happy_vs_Sonik_on_Twisted_Meadows_in_Finals_Map_2,Twisted Meadows,Happy,u,Sonik,n
2020-12-08,ESL Open Cup/45#ID1_Acolyte_Streamer_vs_Chaganaga_on_Amazonia_in_Round_of_32_Map_1,Amazonia,Acolyte Streamer,h,Chaganaga,u
2020-12-08,ESL Open Cup/45#ID2_Rennaissanse_vs_FeeLx_on_Last_Refuge_in_Round_of_32_Map_1,Last Refuge,FeeLx,h,Rennaissanse,n
2020-12-08,ESL Open Cup/45#ID3_Loiu_vs_Chiko_on_Concealed_Hill_in_Round_of_32_Map_1,Concealed Hill,Chiko,o,Loiu,o
2020-12-08,ESL Open Cup/45#ID4_Happy_vs_Acolyte_Streamer_on_Amazonia_in_Round_of_16_Map_1,Amazonia,Happy,u,Acolyte Streamer,h
2020-12-08,ESL Open Cup/45#ID5_LuTr_vs_SushiLicious_on_Echo_Isles_in_Round_of_16_Map_1,Echo Isles,SushiLicious,u,LuTr,o
2020-12-08,ESL Open Cup/45#ID6_XeLSinG_vs_Rollex_on_Last_Refuge_in_Round_of_16_Map_1,Last Refuge,XeLSinG,o,Rollex,h
2020-12-08,ESL Open Cup/45#ID7_SpiritLink_vs_MisterWinner_on_Echo_Isles_in_Round_of_16_Map_1,Echo Isles,MisterWinner,h,SpiritLink,h
2020-12-08,ESL Open Cup/45#ID8_Stranik_vs_FeeLx_on_Terenas_Stand_LV_in_Round_of_16_Map_1,Terenas Stand LV,Dise,n,FeeLx,h
2020-12-08,ESL Open Cup/45#ID9_Celebrate_vs_Edo_on_Terenas_Stand_LV_in_Round_of_16_Map_1,Terenas Stand LV,Edo,u,Celebrate,o
2020-12-08,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID11_Kevin_vs_philiwarrior_on_Concealed_Hill_in_Relegation_Quarterfinal_Map_2,Concealed Hill,Philiwarrior,o,Kevin,n
2020-12-08,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID11_Kevin_vs_philiwarrior_on_Echo_Isles_in_Relegation_Quarterfinal_Map_3,Echo Isles,Kevin,n,Philiwarrior,o
2020-12-08,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID11_Kevin_vs_philiwarrior_on_Last_Refuge_in_Relegation_Quarterfinal_Map_5,Last Refuge,Kevin,n,Philiwarrior,o
2020-12-08,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID11_Kevin_vs_philiwarrior_on_Northern_Isles_in_Relegation_Quarterfinal_Map_1,Northern Isles,Kevin,n,Philiwarrior,o
2020-12-08,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID11_Kevin_vs_philiwarrior_on_Terenas_Stand_LV_in_Relegation_Quarterfinal_Map_4,Terenas Stand LV,Philiwarrior,o,Kevin,n
2020-12-08,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID15_Kevin_vs_Drunken_on_Amazonia_in_Relegation_Semifinals_Map_2,Amazonia,Drunken,h,Kevin,n
2020-12-08,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID15_Kevin_vs_Drunken_on_Concealed_Hill_in_Relegation_Semifinals_Map_1,Concealed Hill,Drunken,h,Kevin,n
2020-12-08,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID15_Kevin_vs_Drunken_on_Last_Refuge_in_Relegation_Semifinals_Map_3,Last Refuge,Drunken,h,Kevin,n
2020-12-08,Huya Super League/3/Qualifier#ID1_Decadent_God_vs_Pink_on_Echo_Isles_in_Round_of_16_Map_1,Echo Isles,Pink,u,Decadent God,o
2020-12-08,Huya Super League/3/Qualifier#ID2_Fast_vs_Fortitude_on_Echo_Isles_in_Round_of_16_Map_1,Echo Isles,Fortitude,h,Fast,o
2020-12-08,Huya Super League/3/Qualifier#ID3_榴花不见簪秋雪_vs_pcg_123_on_Echo_Isles_in_Round_of_16_Map_1,Echo Isles,Pcg 123,u,榴花不见簪秋雪,TBD
2020-12-08,Huya Super League/3/Qualifier#ID4_SuperBT_vs_XiaoKai_on_Echo_Isles_in_Round_of_16_Map_1,Echo Isles,XiaoKai,u,SuperBT,o
2020-12-08,Huya Super League/3/Qualifier#ID5_15sui_vs_Alice_on_Echo_Isles_in_Round_of_16_Map_1,Echo Isles,15sui,h,Alice,n
2020-12-08,Pandaria Solo League/Season 3/Division 2#ID19_Rackanitsu_vs_Nujabes_on_Amazonia_in_Regular_season_Week_5_Map_2,Amazonia,Nujabes,h,Rackanitsu,h
2020-12-08,Pandaria Solo League/Season 3/Division 2#ID19_Rackanitsu_vs_Nujabes_on_Concealed_Hill_in_Regular_season_Week_5_Map_1,Concealed Hill,Nujabes,h,Rackanitsu,h
2020-12-09,DreamHack Open/2020/Winter Season/Asia#ID11_Fly100%_vs_Soin_on_Echo_Isles_in_Group_C_Semifinals_Map_2,Echo Isles,Fly100%,o,Soin,o
2020-12-09,DreamHack Open/2020/Winter Season/Asia#ID11_Fly100%_vs_Soin_on_Last_Refuge_in_Group_C_Semifinals_Map_1,Last Refuge,Fly100%,o,Soin,o
2020-12-09,DreamHack Open/2020/Winter Season/Asia#ID16_Colorful_vs_Fortitude_on_Terenas_Stand_LV_in_Group_D_Semifinals_Map_2,Terenas Stand LV,Colorful,n,Fortitude,h
2020-12-09,DreamHack Open/2020/Winter Season/Asia#ID16_Colorful_vs_Fortitude_on_Twisted_Meadows_in_Group_D_Semifinals_Map_1,Twisted Meadows,Colorful,n,Fortitude,h
2020-12-09,DreamHack Open/2020/Winter Season/Asia#ID1_eer0_vs_Pink_on_Echo_Isles_in_Group_A_Semifinals_Map_3,Echo Isles,Eer0,u,Pink,u
2020-12-09,DreamHack Open/2020/Winter Season/Asia#ID1_eer0_vs_Pink_on_Last_Refuge_in_Group_A_Semifinals_Map_2,Last Refuge,Pink,u,Eer0,u
2020-12-09,DreamHack Open/2020/Winter Season/Asia#ID1_eer0_vs_Pink_on_Northern_Isles_in_Group_A_Semifinals_Map_1,Northern Isles,Eer0,u,Pink,u
2020-12-09,DreamHack Open/2020/Winter Season/Asia#ID6_Lyn_vs_XiaoKai_on_Northern_Isles_in_Group_B_Semifinals_Map_2,Northern Isles,Lyn,o,XiaoKai,u
2020-12-09,DreamHack Open/2020/Winter Season/Asia#ID6_Lyn_vs_XiaoKai_on_Twisted_Meadows_in_Group_B_Semifinals_Map_1,Twisted Meadows,Lyn,o,XiaoKai,u
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID17_philiwarrior_vs_SpoKi_on_Concealed_Hill_in_Relegation_Losers'_Round_1_Map_1,Concealed Hill,SpoKi,h,Philiwarrior,o
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID17_philiwarrior_vs_SpoKi_on_Echo_Isles_in_Relegation_Losers'_Round_1_Map_4,Echo Isles,Philiwarrior,o,SpoKi,h
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID17_philiwarrior_vs_SpoKi_on_Last_Refuge_in_Relegation_Losers'_Round_1_Map_5,Last Refuge,Philiwarrior,o,SpoKi,h
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID17_philiwarrior_vs_SpoKi_on_Northern_Isles_in_Relegation_Losers'_Round_1_Map_3,Northern Isles,Philiwarrior,o,SpoKi,h
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID17_philiwarrior_vs_SpoKi_on_Terenas_Stand_LV_in_Relegation_Losers'_Round_1_Map_2,Terenas Stand LV,SpoKi,h,Philiwarrior,o
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID18_Rigety_vs_PalleS_on_Amazonia_in_Relegation_Losers'_Round_1_Map_1,Amazonia,Rigety,o,PalleS,h
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID18_Rigety_vs_PalleS_on_Echo_Isles_in_Relegation_Losers'_Round_1_Map_2,Echo Isles,Rigety,o,PalleS,h
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID18_Rigety_vs_PalleS_on_Northern_Isles_in_Relegation_Losers'_Round_1_Map_3,Northern Isles,Rigety,o,PalleS,h
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID19_JokeRn_vs_philiwarrior_on_Concealed_Hill_in_Relegation_Losers'_Round_2_Map_2,Concealed Hill,JokeRn,n,Philiwarrior,o
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID19_JokeRn_vs_philiwarrior_on_Echo_Isles_in_Relegation_Losers'_Round_2_Map_3,Echo Isles,JokeRn,n,Philiwarrior,o
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID19_JokeRn_vs_philiwarrior_on_Last_Refuge_in_Relegation_Losers'_Round_2_Map_1,Last Refuge,JokeRn,n,Philiwarrior,o
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID20_Kevin_vs_Rigety_on_Concealed_Hill_in_Relegation_Losers'_Round_2_Map_3,Concealed Hill,Kevin,n,Rigety,o
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID20_Kevin_vs_Rigety_on_Northern_Isles_in_Relegation_Losers'_Round_2_Map_1,Northern Isles,Kevin,n,Rigety,o
2020-12-09,ESL Pro Series Germany/2021/Season 1/Closed Qualifier#ID20_Kevin_vs_Rigety_on_Twisted_Meadows_in_Relegation_Losers'_Round_2_Map_2,Twisted Meadows,Kevin,n,Rigety,o
2020-12-09,Huya Super League/3/Qualifier#ID7_Fortitude_vs_灰太狼123_on_Echo_Isles_in_Quarterfinals_Map_1,Echo Isles,Fortitude,h,灰太狼123,TBD
2020-12-09,Huya Super League/3/Qualifier#ID9_XiaoKai_vs_15sui_on_Echo_Isles_in_Quarterfinals_Map_1,Echo Isles,XiaoKai,u,15sui,h
2020-12-09,Iran Warcraft 3 Reforged League/Season 2#ID59_Destroyer_(Iranian_player)_vs_DeMiGoD_on_Concealed_Hill_in_Regular_season_Round_10_Map_1,Concealed Hill,DeMiGoD,o,Destroyer (Iranian player),u
2020-12-09,Iran Warcraft 3 Reforged League/Season 2#ID59_Destroyer_(Iranian_player)_vs_DeMiGoD_on_Northern_Isles_in_Regular_season_Round_10_Map_2,Northern Isles,DeMiGoD,o,Destroyer (Iranian player),u
2020-12-09,Pandaria Solo League/Season 3/Division 1#ID24_Ze1Ko_vs_KraV_on_Amazonia_in_Regular_season_Week_6_Map_2,Amazonia,Ze1Ko,h,KraV,u
2020-12-09,Pandaria Solo League/Season 3/Division 1#ID24_Ze1Ko_vs_KraV_on_Last_Refuge_in_Regular_season_Week_6_Map_1,Last Refuge,KraV,u,Ze1Ko,h
2020-12-09,Pandaria Solo League/Season 3/Division 2#ID20_bATOu_vs_Evocore_on_Concealed_Hill_in_Regular_season_Week_5_Map_1,Concealed Hill,Evocore,n,BATOu,h
2020-12-09,Pandaria Solo League/Season 3/Division 2#ID20_bATOu_vs_Evocore_on_Northern_Isles_in_Regular_season_Week_5_Map_2,Northern Isles,Evocore,n,BATOu,h
2020-12-09,SCILL Play WC3:Reforged Silver Open Cup/10#ID11_biko_vs_ag3nt_on_Amazonia_in_Round_of_32_Map_1,Amazonia,Biko,u,Ag3nt,h
2020-12-09,SCILL Play WC3:Reforged Silver Open Cup/10#ID15_ArminvB_vs_NickMoris_on_Northern_Isles_in_Round_of_32_Map_1,Northern Isles,ArminvB,o,NickMoris,n
2020-12-09,SCILL Play WC3:Reforged Silver Open Cup/10#ID22_biko_vs_LuTr_on_Concealed_Hill_in_Round_of_16_Map_1,Concealed Hill,Biko,u,LuTr,o
2020-12-09,SCILL Play WC3:Reforged Silver Open Cup/10#ID24_ArminvB_vs_Rollex_on_Northern_Isles_in_Round_of_16_Map_1,Northern Isles,Rollex,h,ArminvB,o
2020-12-09,SCILL Play WC3:Reforged Silver Open Cup/10#ID25_ToM_vs_ToRReNtE_on_Last_Refuge_in_Quarterfinals_Map_1,Last Refuge,ToM,o,ToRReNtE,n
2020-12-09,SCILL Play WC3:Reforged Silver Open Cup/10#ID26_atheistP_vs_Arma_on_Amazonia_in_Quarterfinals_Map_1,Amazonia,AtheistP,h,Arma,o
