Date,Match name,Map,Winner,Winner race,Loser,Loser race
2020-10-24,W3Champions Finals/Season 3/Americas#ID8_Walter_vs_hailua_on_Last_Refuge_in_Losers'_Round_1_Map_1,Last Refuge,Walter,n,Hailua,h
2020-10-24,W3Champions Finals/Season 3/Americas#ID8_Walter_vs_hailua_on_Northern_Isles_in_Losers'_Round_1_Map_3,Northern Isles,Hailua,h,Walter,n
2020-10-24,W3Champions Finals/Season 3/Americas#ID9_Duck_vs_Rottereye_on_Terenas_Stand_LV_in_Losers'_Round_1_Map_2,Terenas Stand LV,Duck,u,Rottereye,n
2020-10-24,W3Champions Finals/Season 3/Americas#ID9_Duck_vs_Rottereye_on_Twisted_Meadows_in_Losers'_Round_1_Map_1,Twisted Meadows,Duck,u,Rottereye,n
2020-10-24,W3Champions Finals/Season 3/Europe#ID10_XlorD_vs_ToD_on_Last_Refuge_in_Losers'_Round_2_Map_2,Last Refuge,XlorD,u,ToD,h
2020-10-24,W3Champions Finals/Season 3/Europe#ID10_XlorD_vs_ToD_on_Northern_Isles_in_Losers'_Round_2_Map_1,Northern Isles,XlorD,u,ToD,h
2020-10-24,W3Champions Finals/Season 3/Europe#ID11_HawK_vs_WaN_on_Concealed_Hill_in_Losers'_Round_2_Map_1,Concealed Hill,WaN,u,HawK,h
2020-10-24,W3Champions Finals/Season 3/Europe#ID11_HawK_vs_WaN_on_Last_Refuge_in_Losers'_Round_2_Map_2,Last Refuge,HawK,h,WaN,u
2020-10-24,W3Champions Finals/Season 3/Europe#ID11_HawK_vs_WaN_on_Northern_Isles_in_Losers'_Round_2_Map_3,Northern Isles,HawK,h,WaN,u
2020-10-24,W3Champions Finals/Season 3/Europe#ID1_LiiLD.C_vs_ToD_on_Echo_Isles_in_Quarterfinal_Map_1,Echo Isles,LiiLD.C,n,ToD,h
2020-10-24,W3Champions Finals/Season 3/Europe#ID1_LiiLD.C_vs_ToD_on_Northern_Isles_in_Quarterfinal_Map_2,Northern Isles,LiiLD.C,n,ToD,h
2020-10-24,W3Champions Finals/Season 3/Europe#ID2_Please_vs_HawK_on_Concealed_Hill_in_Quarterfinal_Map_2,Concealed Hill,HawK,h,Please,n
2020-10-24,W3Champions Finals/Season 3/Europe#ID2_Please_vs_HawK_on_Northern_Isles_in_Quarterfinal_Map_1,Northern Isles,HawK,h,Please,n
2020-10-24,W3Champions Finals/Season 3/Europe#ID3_Happy_vs_WaN_on_Northern_Isles_in_Quarterfinal_Map_1,Northern Isles,Happy,u,WaN,u
2020-10-24,W3Champions Finals/Season 3/Europe#ID3_Happy_vs_WaN_on_Turtle_Rock_in_Quarterfinal_Map_2,Turtle Rock,Happy,u,WaN,u
